thickness (cm);count
0.000625;9137
0.00125;8432
0.001875;7714
0.0025;7028
0.003125;6516
0.00375;6066
0.004375;5532
0.005;5117
0.005625;4576
0.00625;4239
0.006875;4034
0.0075;3594
0.008125;3295
0.00875;3039
0.009375;2844
0.01;2527
0.010625;2385
0.01125;2145
0.011875;1994
0.0125;1904
0.013125;1700
0.01375;1557
0.014375;1441
0.015;1327
0.015625;1220
0.01625;1088
0.016875;962
0.0175;952
0.018125;874
0.01875;789
0.019375;718
0.02;699
0.020625;629
0.02125;565
0.021875;476
0.0225;495
0.023125;455
0.02375;426
0.024375;380
0.025;375
