thickness (cm);count
0.004375;8984
0.00875;8115
0.013125;7299
0.0175;6519
0.021875;5943
0.02625;5354
0.030625;4836
0.035;4333
0.039375;3884
0.04375;3477
0.048125;3236
0.0525;2871
0.056875;2574
0.06125;2285
0.065625;2171
0.07;1904
0.074375;1728
0.07875;1517
0.083125;1374
0.0875;1247
0.091875;1090
0.09625;980
0.100625;908
0.105;796
0.109375;742
0.11375;646
0.118125;555
0.1225;553
0.126875;510
0.13125;424
0.135625;397
0.14;350
0.144375;325
0.14875;280
0.153125;245
0.1575;244
0.161875;223
0.16625;175
0.170625;178
0.175;172
