thickness (cm);88.09;145.41;208.36;279.12;411.8;661.6;1115.5;1598;2753.9
0.5;8056;8563;8786;8929;9060;9213;9374;9483;9597
1.0;6539;7518;7822;8019;8285;8586;8873;9062;9279
1.5;5273;6500;6941;7194;7530;7893;8285;8559;8863
2.0;4224;5548;6036;6364;6757;7248;7789;8124;8507
2.5;3490;4874;5436;5792;6227;6770;7400;7790;8275
3.0;2852;4181;4780;5189;5709;6330;7032;7445;7947
3.5;2296;3632;4218;4638;5169;5791;6530;7027;7657
4.0;1831;3162;3723;4165;4718;5450;6246;6764;7415
4.5;1537;2732;3327;3723;4218;4870;5680;6272;6971
5.0;1207;2337;2922;3308;3844;4537;5453;6078;6822
5.5;974;2041;2654;3051;3617;4317;5199;5821;6647
6.0;735;1718;2278;2692;3204;3885;4799;5396;6240
6.5;625;1498;2062;2403;2905;3609;4528;5148;5980
7.0;514;1357;1773;2129;2661;3408;4384;5027;5862
7.5;409;1159;1617;2002;2515;3140;4040;4709;5571
8.0;329;983;1398;1744;2166;2810;3754;4416;5249
8.5;266;855;1270;1585;2035;2681;3584;4233;5182
9.0;209;736;1101;1394;1812;2396;3277;3905;4904
9.5;167;621;915;1208;1647;2264;3115;3741;4741
10.0;155;541;851;1114;1522;2137;3019;3677;4685
