thickness (cm);count
0.000625;9245
0.00125;8643
0.001875;7985
0.0025;7378
0.003125;6934
0.00375;6523
0.004375;6027
0.005;5664
0.005625;5082
0.00625;4796
0.006875;4567
0.0075;4157
0.008125;3877
0.00875;3640
0.009375;3358
0.01;3053
0.010625;2926
0.01125;2633
0.011875;2499
0.0125;2401
0.013125;2156
0.01375;2053
0.014375;1895
0.015;1749
0.015625;1628
0.01625;1510
0.016875;1374
0.0175;1335
0.018125;1233
0.01875;1144
0.019375;1017
0.02;1027
0.020625;948
0.02125;845
0.021875;750
0.0225;754
0.023125;698
0.02375;661
0.024375;579
0.025;596
