thickness (cm);count
0.001875;9100
0.00375;8412
0.005625;7667
0.0075;6960
0.009375;6427
0.01125;5939
0.013125;5446
0.015;4992
0.016875;4512
0.01875;4151
0.020625;3893
0.0225;3482
0.024375;3184
0.02625;2910
0.028125;2738
0.03;2432
0.031875;2306
0.03375;2053
0.035625;1876
0.0375;1750
0.039375;1565
0.04125;1456
0.043125;1318
0.045;1225
0.046875;1108
0.04875;1013
0.050625;887
0.0525;857
0.054375;801
0.05625;730
0.058125;633
0.06;634
0.061875;578
0.06375;482
0.065625;436
0.0675;451
0.069375;395
0.07125;371
0.073125;333
0.075;349
